idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
25	96.37786678565588	-2306.38220701552	2	6	25	tarjoittanut	tarjoittanut	2	12	12
26	-5.655302756599323	-2503.309422581965	2	2	26	puolin	puolin	2	6	6
27	67.1383616025853	-2365.660495973108	2	5	27	asettain	asettain	2	8	8
28	59.69288317798777	-2419.5110794798748	2	3	28	luontoon	luontoon	2	8	8
29	134.00817711136256	-747.2121967489754	2	68	29	osaan	osaan	2	5	5
30	114.63769134473442	-2241.216845729499	2	8	30	valtaa	valtaa	2	6	6
31	119.08905363153976	-2119.4727703024537	2	13	31	puhaa	puhaa	2	5	5
32	130.3920176115953	-1258.5038328854794	2	47	32	tarpeita	tarpeita	2	8	8
33	168.68765038940137	155.6863938299206	2	7050	33	aleksensa	aleksensa	2	9	9
34	15.818869291937862	-2485.099322616178	2	2	34	esineen	esineen	2	7	7
35	82.02569168163899	-2371.553278616483	2	4	35	korvattu	korvattu	2	8	8
36	147.87968684758084	92.3436190466515	2	252	36	piirikunnan	piirikunnan	2	11	11
37	109.77217282087211	-1953.038035815999	2	20	37	voimalla	voimalla	2	8	8
38	137.09301203369307	103.31896507063884	2	625	38	kertomen	kertomen	2	8	8
39	71.0251530017503	-2408.6835564559506	2	3	39	laitettiin	laitettiin	2	10	10
40	40.72640529615447	-2436.3332706195943	2	3	40	heikkona	kantaa	2	8	6
41	61.32789609837756	-2414.97686919349	2	3	41	suuressa	heikkona	2	8	8
42	125.90621476705874	-2158.352758396248	2	11	42	tunnellisesta	suuressa	2	13	8
43	17.979056690169568	-2483.4360947439845	2	2	43	laajenteen	tunnellisesta	2	10	13
44	132.02233609354712	-1115.1824979868602	2	53	44	vaativat	laajenteen	2	8	10
45	-0.9022148810421884	-2500.521803150504	2	2	45	suomen	vaativat	2	6	8
46	161.23683362332105	117.6497274492812	2	607	46	joukossa	suomen	2	8	6
47	161.8418273132202	-411.2390511721349	2	82	47	kaupungin	joukossa	2	9	8
48	148.1964541249684	82.69573134851021	2	256	48	pantaa	kaupungin	2	6	9
49	-7.373207875051969	-2509.6796094193696	2	2	49	tulosta	pantaa	2	7	6
50	91.2980551270961	-1051.7008422577348	2	59	50	tekemistä	tulosta	2	9	7
51	152.76149556813286	117.2442307874994	2	477	51	valtakauteen	tekemistä	2	12	9
52	149.72636775948533	43.27615820952115	2	113	52	kaupunkilainen	valtakauteen	2	14	12
53	117.3418639952288	-1918.0650607612251	2	21	53	laulusta	kaupunkilainen	2	8	14
54	102.50403740239948	-1886.9902395119448	2	23	54	ilman	laulusta	2	5	8
55	96.2430433942691	-2259.5231457531518	2	8	55	läheisyyssä	ilman	2	11	5
56	124.78835505367464	-1640.736988382601	2	32	56	syntyä	läheisyyssä	2	6	11
57	162.74467844407926	111.95834681965472	2	471	57	kokoonsa	syntyä	2	8	6
58	121.12035310363127	-2109.1685273475678	2	13	58	toiminnakseen	kokoonsa	2	13	8
59	146.3848741841744	-1333.2512275157424	2	44	59	ennätys	toiminnakseen	2	7	13
60	115.46686235624144	-2258.3985887532467	2	7	60	kertoivat	ennätys	2	9	7
61	85.70989577325483	-2348.0127779011304	2	5	61	järjestössä	kertoivat	2	11	9
62	114.51090298279594	-2222.650020702089	2	9	62	saarikunnan	järjestössä	2	11	11
63	115.24738497651636	-2142.9159864869566	2	12	63	kesään	saarikunnan	2	6	11
64	146.39239188980892	112.73535411541538	2	515	64	hallittaa	kesään	2	9	6
65	-inf	-inf	2	1	65	japanilaiset	hallittaa	2	12	9
66	126.638998445855	-2154.0596835013084	2	11	66	koostuivat	japanilaiset	2	10	12
67	135.85584864333603	66.6003111006614	2	226	67	teknissä	koostuivat	2	8	10
68	14.564876367297986	-2486.5519971699814	2	2	68	vahvetsin	teknissä	2	9	8
69	103.7009706110667	-2300.01156405097	2	6	69	merkittävästi	vahvetsin	2	13	9
70	-inf	-inf	2	1	70	pienemmät	merkittävästi	2	9	13
71	125.33577170378732	-548.8220271740462	2	77	71	ehdotettu	pienemmät	2	9	9
72	122.35377415150552	-2227.7853830231675	2	8	72	tuntematoja	ehdotettu	2	11	9
73	141.13816505777254	-2067.3582713363253	2	14	73	kattai	tuntematoja	2	6	11
74	133.9487619210037	-798.0067360733525	2	66	74	parin	kattai	2	5	6
75	165.25297248626936	129.60549929234153	2	2674	75	saaren	parin	2	6	5
76	156.12855814811286	52.59102383642159	2	148	76	viidennen	saaren	2	9	6
77	104.57148350011872	-1586.2586065748128	2	35	77	tuki	viidennen	2	4	9
78	71.35788577258276	-2379.519158610277	2	4	78	kirjallisen	tuki	2	11	4
79	151.46559941457556	73.73339636023297	2	166	79	toistaa	kirjallisen	2	7	11
80	140.00506080221592	-1672.6055034114	2	30	80	tuhosi	toistaa	2	6	7
81	88.18257152052064	-2268.431921338076	2	8	81	toimintaan	tuhosi	2	10	6
82	115.56858803043498	-2222.587992265567	2	9	82	taloudellisen	toimintaan	2	13	10
83	-inf	-inf	2	1	83	rakennettu	taloudellisen	2	10	13
84	-inf	-inf	2	1	84	pitkään	rakennettu	2	7	10
85	86.495804204972	-2343.279832858248	2	5	85	kuvioita	pitkään	2	8	7
86	94.6862069076555	-2335.742189644591	2	5	86	keskukseen	kuvioita	2	10	8
87	83.94156740536103	-2321.0631176810025	2	6	87	kuvaavat	keskukseen	2	8	10
88	101.43754684303627	-2182.8020449532505	2	11	88	kehittyy	kuvaavat	2	8	8
89	10.538822360562136	-2494.115013978371	2	2	89	asua	kehittyy	2	4	8
90	32.320619776697626	-2472.873317291168	2	2	90	olleen	rakennettu	2	6	10
91	91.1324289550092	-2342.402279182304	2	5	91	maista	asua	2	6	4
92	160.52969599742144	155.1714182329807	2	85005	92	käytettyä	olleen	2	9	6
93	160.38869774093808	139.58012225829566	2	4489	93	katsotaan	maista	2	9	6
94	123.335401591627	-1317.8646111823134	2	45	94	omassa	käytettyä	2	6	9
95	129.38560265597027	55.953717995334415	2	174	95	tarvetta	katsotaan	2	8	9
96	160.0699162027436	142.36561030694546	2	5384	96	kuvauksen	omassa	2	9	6
97	164.33674798447922	157.26646835178073	2	27103	97	maan	tarvetta	2	4	8
98	65.48914979454028	-2339.238746924342	2	6	98	erilliset	kuvauksen	2	9	9
99	137.617149112185	113.52404191858508	2	2473	99	teoksen	maan	2	7	4
100	133.9969280701349	-801.7210452167849	3	66	100	karjaa	erilliset	3	6	9
101	128.40183987925568	-580.3204211393547	3	75	101	toivat	teoksen	3	6	7
102	147.09194576873608	92.70853361218212	3	193	102	vaikeaksi	karjaa	3	9	6
103	95.78214089684644	-2168.916459465959	3	12	103	kuvataan	toivat	3	8	6
104	105.55762376499882	-2254.0043981608897	3	8	104	eron	vaikeaksi	3	4	9
105	37.42871914167132	-2462.4320250166184	3	2	105	markkalaisen	kaupungin	3	12	9
106	148.4438779975281	-567.164834500862	3	75	106	kaupun	kuvataan	3	6	8
107	100.85482009090964	-2235.9284203853963	3	9	107	paransa	eron	3	7	4
108	70.06739400184618	-2411.521138169492	3	3	108	turki	markkalaisen	3	5	12
109	-inf	-inf	3	1	109	meneen	kaupun	3	6	6
110	85.94346747518343	-2343.696660399536	3	5	110	muuttavat	paransa	3	9	7
111	130.9176516270803	-10.122762061662844	3	100	111	mari	turki	3	4	5
112	78.836511445377	-2226.366485400961	3	10	112	vaikutuksia	meneen	3	11	6
113	165.4803197920979	88.99443373909621	3	238	113	lainalla	muuttavat	3	8	9
114	-inf	-inf	3	1	114	asettua	mari	3	7	4
115	130.8943500416802	-706.0073279995207	3	70	115	lentokoneen	vaikutuksia	3	11	11
116	107.218706503537	-1804.474420662052	3	26	116	tekemä	lainalla	3	6	8
117	128.58928721008408	-2054.508503009919	3	15	117	pelaavat	asettua	3	8	7
118	76.17003739195174	-2403.959828615637	3	3	118	maatilan	lentokoneen	3	8	11
119	126.3754274661711	-193.03877453669324	3	92	119	herkettyvät	tekemä	3	11	6
120	130.49024309487845	-45.11748498760752	3	98	120	kohtaa	pelaavat	3	6	8
121	43.90143892748709	-2432.393464786982	3	3	121	helenisi	maatilan	3	8	8
122	-inf	-inf	3	1	122	kirjoituksella	herkettyvät	3	14	11
123	-inf	-inf	3	1	123	kuulla	kohtaa	3	6	6
124	136.2211122765445	-1039.065206059755	3	56	124	kansalaisuuteen	helenisi	3	15	8
125	106.84541884776988	-2127.8412972841347	3	13	125	tornion	kirjoituksella	3	7	14
126	79.95466834478181	-2376.2373590582674	3	4	126	päätöksiä	kuulla	3	9	6
127	111.57166719682468	-1877.9977773322607	3	23	127	sekuntaan	kansalaisuuteen	3	9	15
128	131.37258839030983	50.65926178844701	3	133	128	puhuttiin	tornion	3	9	7
129	118.33032671382615	57.46728945429398	3	177	129	kehittämä	päätöksiä	3	9	9
130	124.12432040766488	-1938.138926850059	3	20	130	tuloksen	sekuntaan	3	8	9
131	87.81752802510528	-2290.5224724783952	3	7	131	kokoosuut	puhuttiin	3	9	9
132	152.8734246290368	101.91428654822631	3	404	132	taisteluihin	kehittämä	3	12	9
133	129.99574757022805	-1650.9083909618748	3	31	133	vankia	tuloksen	3	6	8
134	126.77699182146247	-1957.227420273077	3	19	134	konteetrin	kokoosuut	3	10	9
135	39.16636580465121	-2436.144040086204	3	3	135	end	taisteluihin	3	3	12
136	84.34340693289379	-2372.790502285745	3	4	136	kuulei	vankia	3	6	6
137	135.25120717390584	42.78206679198335	3	106	137	yleiselle	konteetrin	3	9	10
138	122.26997870056034	-2015.2498526662448	3	17	138	kehityksen	end	3	10	3
139	-inf	-inf	3	1	139	kespäi	kuulei	3	6	6
140	-inf	-inf	3	1	140	maailmanmestaruuten	yleiselle	3	19	9
141	100.91880314047542	-2298.6311416442068	3	6	141	katsamaan	kehityksen	3	9	10
142	-inf	-inf	3	1	142	korkeakohtaan	ensimmäisen	3	13	11
143	-inf	-inf	3	1	143	suomalaiset	kespäi	3	11	6
144	-inf	-inf	3	1	144	kaaristi	maailmanmestaruuten	3	8	19
145	-inf	-inf	3	1	145	sallisti	katsamaan	3	8	9
146	-inf	-inf	3	1	146	tunnetuimmista	korkeakohtaan	3	14	13
147	105.53743712937114	-2029.843550111901	3	17	147	olleena	suomalaiset	3	7	11
148	86.05897927867012	-2371.8329952495883	3	4	148	lähteitä	kaaristi	3	8	8
149	155.931325692381	133.08785539491106	3	1126	149	tuota	sallisti	3	5	8
150	-inf	-inf	3	1	150	sinjaisuuden	tunnetuimmista	3	12	14
151	12.82524433659654	-2486.189325850451	3	2	151	kaupunginvaltuusen	olleena	3	18	7
152	102.04623884785956	-1641.0115580318748	3	33	152	olevat	lähteitä	3	6	8
153	152.774197518795	111.92125707410544	3	703	153	kaupungiassa	tuota	3	12	5
154	113.04765807892068	-2073.619615398268	3	15	154	esti	sinjaisuuden	3	4	12
155	125.87383249769309	-232.7185555356636	3	90	155	syntymisen	kaupunginvaltuusen	3	10	18
156	94.4255417468406	-2311.794517654333	3	6	156	ympäristöstä	olevat	3	12	6
157	100.8209298776612	-2208.881811202408	3	10	157	tehtävissä	kaupungiassa	3	10	12
158	107.7068840735253	-2226.180949321636	3	9	158	kaltion	esti	3	7	4
159	121.7968585556204	-643.1750971444848	3	73	159	lukemalla	syntymisen	3	9	10
160	118.47670733935094	-507.2226132790212	3	79	160	helppoo	ympäristöstä	3	7	12
161	108.88170444087518	-1829.7393639307368	3	25	161	vaikea	tehtävissä	3	6	10
162	111.99493713851616	-2124.885466623229	3	13	162	perustelu	kaltion	3	9	7
163	128.6679864711189	-1754.6801904046663	3	27	163	osan	lukemalla	3	4	9
164	77.47244962418492	-2305.9923607903875	3	7	164	pienissä	helppoo	3	8	7
165	-inf	-inf	3	1	165	kaupunginvaltuusta	vaikea	3	18	6
166	159.45113088010646	84.10646430724505	3	210	166	voittaja	perustelu	3	8	9
167	-0.5680626084051641	-2497.3695854140915	3	2	167	katteita	osan	3	8	4
168	-inf	-inf	3	1	168	maalista	pienissä	3	8	8
169	159.84143518728055	141.42115723704268	3	2085	169	saapueen	kaupunginvaltuusta	3	8	18
170	162.35906307189828	-1528.690318090975	3	35	170	erillistä	voittaja	3	9	8
171	-inf	-inf	3	1	171	kalleenin	katteita	3	9	8
172	136.4261816377109	-161.6530958968221	3	93	172	saapuen	maalista	3	7	8
173	136.18288534877192	57.67676102172703	3	139	173	pelattaa	saapueen	3	8	8
174	-inf	-inf	3	1	174	sijain	erillistä	3	6	9
175	120.31629981431746	-1640.0471984192031	3	32	175	kaupunginvaltan	kalleenin	3	15	9
176	44.10828865305522	-2430.5122595055227	3	3	176	osallistaa	pitkään	3	10	7
177	115.97133012291948	-1008.5992934344172	3	58	177	tuhoutui	saapuen	3	8	7
178	142.54670572006134	-1052.302384097701	3	55	178	mettaa	pelattaa	3	6	8
179	-inf	-inf	3	1	179	keskustelun	sijain	3	11	6
180	-inf	-inf	3	1	180	sisällinnosta	kaupunginvaltan	3	13	15
181	11.7814513595636	-2486.301963503098	3	2	181	seuraavan	osallistaa	3	9	10
182	116.48549495938374	-2114.1872783266053	3	13	182	variksi	tuhoutui	3	7	8
183	155.10321134228087	127.1969617762696	3	1433	183	puolustuksena	mettaa	3	13	6
184	51.00341158800212	-2422.9175478531192	3	3	184	sisäistä	keskustelun	3	8	11
185	16.30471890476409	-2480.657182087703	3	2	185	tapahtui	sisällinnosta	3	8	13
186	137.12666009536906	79.23079191827976	3	378	186	kerää	seuraavan	3	5	9
187	-inf	-inf	3	1	187	suunnitellut	variksi	3	12	7
188	160.53264584384905	109.13677658272104	3	662	188	suunnittelusta	puolustuksena	3	14	13
189	12.27621930473297	-2489.7277415487506	3	2	189	kaupungessa	sisäistä	3	11	8
190	10.381701074525685	-2491.0360151088275	3	2	190	kohtea	tapahtui	3	6	8
191	64.21269731155893	-2412.566305086492	3	3	191	soittaa	kerää	3	7	5
192	-inf	-inf	3	1	192	kultain	taisteluihin	3	7	12
193	-inf	-inf	3	1	193	kentaa	suunnitellut	3	6	12
194	134.38179497381932	61.58682806638488	3	172	194	asemansa	suunnittelusta	3	8	14
195	108.70637569555718	-388.4158784216921	3	85	195	päätökseen	kaupungessa	3	10	11
196	149.43158124073923	90.3607111135442	3	340	196	kouluttiin	kohtea	3	10	6
197	115.93213458885722	-1772.5847948207231	3	27	197	olevankaan	soittaa	3	10	7
198	46.44494676140665	-2389.7300036065726	3	5	198	selvittämään	kultain	3	12	7
199	161.8214535604684	79.15124433307852	3	152	199	kaattaisesti	kentaa	3	12	6
200	166.7701291356759	139.2048254645247	3	2388	200	kaikkia	asemansa	3	7	8
201	142.33483410108803	85.7051439899838	3	290	201	karsinaisia	päätökseen	3	11	10
202	-inf	-inf	3	1	202	sellaisen	kouluttiin	3	9	10
203	108.92550085481332	-2049.3990618318435	3	16	203	pieret	olevankaan	3	6	10
204	147.26850728569545	95.00992583947696	3	290	204	miehittiin	selvittämään	3	10	12
205	138.23196094765655	-1451.8778271126157	3	39	205	taistelun	kaattaisesti	3	9	12
206	146.03841031849706	88.05536831632469	3	183	206	olevasi	kaikkia	3	7	7
207	150.08092168905927	105.99572867530236	3	591	207	liittyvät	karsinaisia	3	9	11
208	119.02980354452572	15.326645893574527	3	101	208	valitsivat	sellaisen	3	10	9
209	157.73352776318873	131.7023999104472	3	1481	209	muutoivat	pieret	3	9	6
210	156.4592491409143	-761.2270383830238	3	67	210	opiskelussa	miehittiin	3	11	10
211	-10.000281391095164	-2511.6837149492567	3	2	211	heikon	taistelun	3	6	9
212	-inf	-inf	3	1	212	kertain	olevasi	3	7	7
213	101.47277989682264	-2086.744756531888	3	15	213	harvoin	liittyvät	3	7	9
214	163.61789902798645	129.2434349875321	3	903	214	saaret	valitsivat	3	6	10
215	95.91796591519184	-1860.5633825796097	3	24	215	keskian	taisteluihin	3	7	12
216	163.99718543861567	127.883138742651	3	2418	216	kanssalassa	muutoivat	3	11	9
217	37.987544432911655	-2439.6040394162114	3	3	217	kolmen	opiskelussa	3	6	11
218	138.74247149675534	-436.5407430413835	3	81	218	poliittisesti	heikon	3	13	6
219	119.73467375115634	-1150.8369105240336	3	52	219	pianista	kertain	3	8	7
220	72.28091803562467	-2384.999792373863	3	4	220	kaulun	harvoin	3	6	7
221	63.384263761658815	-2414.096144234594	3	3	221	sanotaan	saaret	3	8	6
222	76.177147842669	-2306.8633914736915	3	7	222	tarita	keskian	3	6	7
223	20.079219391527737	-2451.241098473986	3	3	223	sameriks	kanssalassa	3	8	11
224	144.61823537384268	51.608807594016746	3	133	224	johna	kolmen	3	5	6
225	68.3466319075974	-2332.7221176337243	3	6	225	korittaa	poliittisesti	3	8	13
226	144.96047259389243	120.48332688196734	3	3215	226	kolmikansa	pianista	3	10	8
227	124.91011326704069	-975.5885641134296	3	59	227	laajansa	kaulun	3	8	6
228	152.9174962152163	109.9483722161686	3	616	228	antee	sanotaan	3	5	8
229	57.2018974697805	-2420.278317731221	3	3	229	saapue	tarita	3	6	6
230	109.88726085910707	-988.5370941620712	3	59	230	alueelle	sameriks	3	8	8
231	54.80410709628398	-2423.580737046948	3	3	231	kerralla	johna	3	8	5
232	173.07647152918577	155.82542282354862	3	20225	232	vener	korittaa	3	5	8
233	112.19320424187563	-2046.654025738909	3	16	233	perustamisen	kolmikansa	3	12	10
234	152.6260007564771	127.23108483238128	3	4260	234	kuollen	laajansa	3	7	8
235	-49.80894392261767	-2549.806536206861	3	2	235	aiemmista	antee	3	9	5
236	152.03567925048836	59.441389543057134	3	147	236	keskeisiä	saapue	3	9	6
237	109.4033099347464	35.351567056104244	3	151	237	alueilta	alueelle	3	8	8
238	155.8490712059875	113.56619033078604	3	454	238	elikomainen	kerralla	3	11	8
239	135.59771506714182	19.950314855621112	3	103	239	oppilaat	vener	3	8	5
240	129.00563381818242	46.84460738714248	3	122	240	kaupunkilan	perustamisen	3	11	12
241	105.34170161063236	-1687.9733321268886	3	31	241	noustaa	kuollen	3	7	7
242	104.83863171894056	-2037.613091593208	3	17	242	piirityksen	aiemmista	3	11	9
243	164.477636172066	143.67237806607707	3	10791	243	laiva	keskeisiä	3	5	9
244	-38.50039669778455	-2535.555741104208	3	2	244	saapuutta	alueilta	3	9	8
245	133.8871563596034	-1704.346807718143	3	29	245	tuomassa	elikomainen	3	8	11
246	105.31880728014951	-1782.3800241700987	3	27	246	saattaa	oppilaat	3	7	8
247	112.9916330105756	-1921.358276437098	3	21	247	alueiden	kaupunkilan	3	8	11
248	137.47683328286024	86.6310244857075	3	228	248	kotimaassa	noustaa	3	10	7
249	108.8679348219165	-1507.2632398301012	3	38	249	olevasta	piirityksen	3	8	11
250	128.91041321577512	-1141.4611395780937	3	52	250	perustamansa	laiva	3	12	5
251	-11.815216369442195	-2510.7548590168994	3	2	251	misteriksi	saapuutta	3	10	9
252	118.38115653025396	-1273.115469428152	3	47	252	linnoituksen	tuomassa	3	12	8
253	167.66146705995558	127.5379955795092	3	1618	253	saarle	saattaa	3	6	7
254	107.77535793407044	-2276.605383390044	3	7	254	kuultaan	alueiden	3	8	8
255	152.29188662099293	30.39233380424192	3	102	255	seuraavat	kotimaassa	3	9	10
256	136.1030303643233	38.06518993513774	3	113	256	tarkoittavat	olevasta	3	12	8
257	8.497217688030942	-2495.2200379487726	3	2	257	valmentajana	perustamansa	3	12	12
258	-inf	-inf	3	1	258	pelasta	misteriksi	3	7	10
259	45.91536127253541	-2433.7844184622422	3	3	259	kansainvälisen	linnoituksen	3	14	12
260	69.38011830832943	-2310.4570765123567	3	7	260	kieltäytyy	saarle	3	10	6
261	-40.27867254220427	-2541.0596257795974	3	2	261	olevan	koulun	3	6	6
262	80.94501874495504	-2379.934310281309	3	4	262	kasvui	kuultaan	3	6	8
263	-inf	-inf	3	1	263	albumin	seuraavat	3	7	9
264	137.8184761308686	83.46695076348779	3	225	264	kaikkaaiset	tarkoittavat	3	11	12
265	-inf	-inf	3	1	265	mallin	valmentajana	3	6	12
266	5.676247835717301	-2495.1175071391926	3	2	266	tehtävä	pelasta	3	7	7
267	-inf	-inf	3	1	267	saavuttaa	kansainvälisen	3	9	14
268	57.34666008252595	-2377.5637427182305	3	5	268	tietos	kieltäytyy	3	6	10
269	112.34015722566248	-1968.1284585097708	3	19	269	käyttän	olevan	3	7	6
270	132.99085432808923	68.22473099800452	3	894	270	muuttivat	kasvui	3	9	6
271	136.3888682817797	61.33532284379891	3	851	271	pääosissa	albumin	3	9	7
272	-33.113107576706206	-2450.585345614638	3	26	272	lukevan	kaikkaaiset	3	7	11
273	144.8135416238849	108.15419741245356	3	1681	273	alkaneen	mallin	3	8	6
274	107.88713289851918	-1688.8452620577816	3	65	274	tarjottiin	saaret	3	10	6
275	149.33305857143537	84.78164808633585	3	530	275	kertomaan	tehtävä	3	9	7
276	113.80457986673083	-12.796447499311668	3	834	276	kolmannen	saavuttaa	3	9	9
277	158.74765854846206	131.7600170990864	3	805	277	maineen	tietos	3	7	6
278	122.6412410886309	38.93614477961976	3	122	278	kuulee	käyttän	3	6	7
279	53.80002009782104	-2420.285901497984	3	3	279	pitkälle	muuttivat	3	8	9
280	96.52827593279449	-2210.72477103829	3	10	280	tärkeitä	pääosissa	3	8	9
281	114.64989798536206	-2088.3048075257943	3	14	281	kehittäminen	lukevan	3	12	7
282	122.56019736009952	77.83320830421974	3	313	282	saarista	alkaneen	3	8	8
283	149.78381271659592	98.8665082673148	3	334	283	yhteisön	tarjottiin	3	8	10
284	126.9847908912634	-883.3894700227501	3	63	284	kieliossa	kertomaan	3	9	9
285	-inf	-inf	3	1	285	maksalla	osan	3	8	4
286	14.54310611542117	-2485.9276257366114	3	2	286	laittaa	kolmannen	3	7	9
287	-inf	-inf	3	1	287	katottiin	maineen	3	9	7
288	59.76247423783289	-2198.719037459641	3	12	288	pelit	kuulee	3	5	6
289	-inf	-inf	3	1	289	saman	pitkälle	3	5	8
290	122.33866169200893	-2156.9016911760414	3	11	290	vaikuttaa	kaupungin	3	9	9
291	149.83400413342372	132.54636774394407	3	20107	291	kansainväliset	tärkeitä	3	14	8
292	140.41493535919702	26.22356753083616	3	105	292	vallan	kehittäminen	3	6	12
293	97.20551884639048	-1611.0564688275958	3	34	293	tehtävästä	saarista	3	10	8
294	114.56053304825132	-1912.992144793804	3	21	294	koskevan	yhteisön	3	8	8
295	147.4050147311995	117.02541176494222	3	2020	295	ennetyn	kieliossa	3	7	9
296	132.7813381835021	47.33425818403376	3	143	296	kilpailun	maksalla	3	9	8
297	153.85758365377896	110.2798553651502	3	285	297	tytteissä	laittaa	3	9	7
298	139.0400647723635	44.68025903071775	3	143	298	vaataan	tekemistä	3	7	9
299	107.6081963008766	-2298.1074973490017	3	6	299	kohtan	vaikea	3	6	6
300	-inf	-inf	3	1	300	lähteistä	katottiin	3	9	9
301	-inf	-inf	3	1	301	keskittyy	pelit	3	9	5
302	114.16375668995995	-340.0024559145157	3	86	302	armeija	saman	3	7	5
303	90.10003773979786	-2258.4060313433806	3	8	303	valmentajanaan	vaikuttaa	3	14	9
304	90.42003553929923	-2358.0612749648258	3	4	304	norjaa	kansainväliset	3	6	14
305	-91.11432812497118	-2591.756990527402	3	2	305	kappaleet	vallan	3	9	6
306	69.25725390255303	-2409.3464865169585	3	3	306	taistelusta	rakennettu	3	11	10
307	155.80069592595282	-449.97541707940513	3	80	307	aseman	tehtävästä	3	6	10
308	121.49793344636392	59.058288172885405	3	182	308	rakennusta	koskevan	3	10	8
309	137.99690881906938	-1896.6895368059563	3	21	309	maailmansota	ennetyn	3	12	7
310	93.96135919630066	-2288.739598248109	3	7	310	kultaa	kilpailun	3	6	9
311	144.05477067861267	-1321.7145038057538	3	44	311	alkaa	tytteissä	3	5	9
312	158.3097384366395	120.76740193176964	3	494	312	tulostaan	vaataan	3	9	7
313	124.20849009285834	-474.2293478164635	3	80	313	kuullaa	kohtan	3	7	6
314	116.3268416518934	-2019.730938283922	3	17	314	pidän	lähteistä	3	5	9
315	102.83378180269057	-2299.162133101047	3	6	315	puhelusta	keskittyy	3	9	9
316	56.06713117388596	-2421.07793851803	3	3	316	aiemmat	armeija	3	7	7
317	12.2953809237615	-2490.7408367302146	3	2	317	laitti	valmentajanaan	3	6	14
318	111.73006734585294	-864.9431968596642	3	64	318	luonnosta	norjaa	3	9	6
319	47.52304958935611	-2433.176660596506	3	3	319	pelatteiden	kappaleet	3	11	9
320	102.02528172995603	-2205.745948279104	3	10	320	kirjallisuuden	taistelusta	3	14	11
321	126.4879839197854	31.976656788957253	3	117	321	selvät	aseman	3	6	6
322	132.4532998511076	-2002.4807969903889	3	17	322	tuottaa	rakennusta	3	7	10
323	152.00906459130204	72.12971798448382	3	137	323	palkinnustuksen	maailmansota	3	15	12
324	87.31707226970657	-2371.887005454146	3	4	324	tehtävät	kultaa	3	8	6
325	101.84180788629318	-2332.161214104148	3	5	325	vesissä	alkaa	3	7	5
326	138.1002304922629	98.11222331795508	3	387	326	lapken	tulostaan	3	6	9
327	125.51862916162948	-736.9251050677499	3	70	327	henkiä	kuullaa	3	6	7
328	142.68413774429644	-313.7626419647051	3	90	328	vanha	pidän	3	5	5
329	119.52399087626578	-1963.1298435884976	3	19	329	sisällistoa	puhelusta	3	11	9
330	-14.407058207560238	-2488.616123656989	3	3	330	paikallista	aiemmat	3	11	7
331	156.48224253340405	108.63535214284906	3	567	331	kaupung	laitti	3	7	6
332	-inf	-inf	3	1	332	kullakin	luonnosta	3	8	9
333	157.5193006698292	94.66583974225136	3	337	333	kuuluivat	pelatteiden	3	9	11
334	153.71402079200593	124.7358665449032	3	743	334	komman	kirjallisuuden	3	6	14
